"site";"species";"longitude";"latitude";"count";"sla";"n_mass";"wood_dens"
"PA_113492617010661";"acer_pensylvanicum";-76,540672;41,308569;1;25,2665021666667;2,221025493;0,44
"PA_168997238010661";"acer_pensylvanicum";-76,24639;41,66496;2;25,2665021666667;2,221025493;0,44
"PA_58264684010538";"acer_pensylvanicum";-78,74509;40,22234;1;25,2665021666667;2,221025493;0,44
"PA_58188811010538";"acer_pensylvanicum";-77,83752;41,62124;1;25,2665021666667;2,221025493;0,44
"PA_58179423010538";"acer_pensylvanicum";-77,26483;41,40329;1;25,2665021666667;2,221025493;0,44
"PA_58343318010538";"acer_pensylvanicum";-78,30595;40,70657;2;25,2665021666667;2,221025493;0,44
"PA_247104590010661";"acer_pensylvanicum";-78,52034;40,31027;3;25,2665021666667;2,221025493;0,44
"PA_76916626010538";"acer_pensylvanicum";-77,65558;40,70436;2;25,2665021666667;2,221025493;0,44
"PA_145021099010661";"acer_pensylvanicum";-77,958755;41,516001;1;25,2665021666667;2,221025493;0,44
"PA_145020353010661";"acer_pensylvanicum";-77,749066;41,818831;3;25,2665021666667;2,221025493;0,44
"PA_122562024010661";"acer_pensylvanicum";-77,76954;41,65477;1;25,2665021666667;2,221025493;0,44
"PA_145019639010661";"acer_pensylvanicum";-75,464915;41,283962;3;25,2665021666667;2,221025493;0,44
"PA_58327704010538";"acer_pensylvanicum";-77,26945;40,70988;1;25,2665021666667;2,221025493;0,44
"PA_10756695010661";"acer_pensylvanicum";-75,55519;41,33342;1;25,2665021666667;2,221025493;0,44
"PA_58264915010538";"acer_pensylvanicum";-79,13858;40,13642;1;25,2665021666667;2,221025493;0,44
"PA_58389165010538";"acer_pensylvanicum";-78,110004;40,344224;3;25,2665021666667;2,221025493;0,44
"PA_10812923010661";"acer_pensylvanicum";-79,0831;41,80562;4;25,2665021666667;2,221025493;0,44
"PA_58343392010538";"acer_pensylvanicum";-78,52034;40,31027;2;25,2665021666667;2,221025493;0,44
"PA_10746636010661";"acer_pensylvanicum";-78,11084;40,66673;10;25,2665021666667;2,221025493;0,44
"PA_168997876010661";"acer_pensylvanicum";-79,241962;40,073778;9;25,2665021666667;2,221025493;0,44
"PA_10813045010661";"acer_pensylvanicum";-78,97198;41,77784;1;25,2665021666667;2,221025493;0,44
"PA_122561910010661";"acer_pensylvanicum";-78,06447;40,21168;1;25,2665021666667;2,221025493;0,44
"PA_58343491010538";"acer_pensylvanicum";-78,24564;40,51892;3;25,2665021666667;2,221025493;0,44
